entry_idx,exit_idx,entry_time,exit_time,side,entry_price,exit_price,size,pnl,exit_reason,regime_at_entry
522,524,2024-09-18 00:00:00+00:00,2024-09-18 00:30:00+00:00,long,0.5826,0.5792848205153684,52890.74821995196,-205.9811310151163,sl,RANGE
536,551,2024-09-18 03:30:00+00:00,2024-09-18 07:15:00+00:00,short,0.5819,0.5764396696321075,46867.059219591916,228.89359457738428,tp,RANGE
551,561,2024-09-18 07:15:00+00:00,2024-09-18 09:45:00+00:00,long,0.5762,0.5730204865942866,54926.28228884664,-206.11273586735808,sl,RANGE
561,563,2024-09-18 09:45:00+00:00,2024-09-18 10:15:00+00:00,long,0.573,0.5698300468146007,53591.84055191237,-200.4218666795204,sl,RANGE
565,576,2024-09-18 10:45:00+00:00,2024-09-18 13:30:00+00:00,long,0.571,0.5674723283806697,46847.05484973887,-191.84543313598766,sl,RANGE
576,584,2024-09-18 13:30:00+00:00,2024-09-18 15:30:00+00:00,long,0.5677,0.5638956932072754,42291.31155279338,-184.73701225823095,sl,RANGE
585,592,2024-09-18 15:45:00+00:00,2024-09-18 17:30:00+00:00,short,0.5644,0.5691152644562807,33235.50767301023,-175.6290427556528,sl,TREND_DOWN
610,616,2024-09-18 22:00:00+00:00,2024-09-18 23:30:00+00:00,short,0.5797,0.585298314172311,27298.65814018336,-168.8043233398784,sl,TREND_DOWN
635,675,2024-09-19 04:15:00+00:00,2024-09-19 14:15:00+00:00,short,0.5859,0.590159441251261,35012.54480217035,-169.7968615192214,sl,TREND_DOWN
682,684,2024-09-19 16:00:00+00:00,2024-09-19 16:30:00+00:00,short,0.5873,0.5918068100599709,32246.236579260833,-164.4112058180255,sl,TREND_DOWN
687,716,2024-09-19 17:15:00+00:00,2024-09-20 00:30:00+00:00,short,0.5905,0.5828124965762125,27641.09500661469,196.38143691168187,tp,TREND_DOWN
722,728,2024-09-20 02:00:00+00:00,2024-09-20 03:30:00+00:00,short,0.5813,0.585883022544213,31695.64648771432,-163.8318035723135,sl,TREND_DOWN
732,766,2024-09-20 04:30:00+00:00,2024-09-20 13:00:00+00:00,short,0.5902,0.5834201687132936,31331.915226289264,194.1454278561944,tp,TREND_DOWN
772,798,2024-09-20 14:30:00+00:00,2024-09-20 21:00:00+00:00,short,0.5824,0.587256412725266,29884.15680237145,-162.67946209995927,sl,TREND_DOWN
801,813,2024-09-20 21:45:00+00:00,2024-09-21 00:45:00+00:00,short,0.5868,0.5813454637646166,38920.29863887147,189.66604015559514,tp,TREND_DOWN
813,863,2024-09-21 00:45:00+00:00,2024-09-21 13:15:00+00:00,long,0.5812,0.5859977411002124,45291.52427076083,190.75627657144358,tp,RANGE
870,876,2024-09-21 15:00:00+00:00,2024-09-21 16:30:00+00:00,long,0.5847,0.5883705937025312,60543.33733853645,186.6080734304466,tp,RANGE
