side,entry_price,exit_price,size,pnl,pnl_pct,price_move_pct,bars_held,exit_reason,signal,support,resistance,mid,zone_width_atr,dist_to_zone,zone_strength,atr_at_entry,volatility_at_entry,price_position,target_reached_pct
SHORT,0.4207,0.4208,21734.72301534061,-11.319443746389148,-0.12379367720465623,-0.023769907297358922,8,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.4032,0.421,0.4121,19.93600000000005,0.3359999999999642,0.0001,0.0008928571428571397,0.005,0.9831460674157322,-1.162790697674291
SHORT,0.4227,0.4205,21585.89518079205,38.41210047422021,0.42098414951503077,0.5204636858292015,10,TREND_EXIT_EMA_SLOW_CROSS,SHORT_BOUNCE,0.4094,0.4232,0.4163,12.545454545454556,0.4545454545454542,0.0001,0.0011000000000000018,0.005,0.963768115942029,34.37500000000046
SHORT,0.4323,0.4313,21170.902725822423,12.039892380175232,0.13155216284987298,0.2313208420078651,10,TREND_EXIT_EMA_SLOW_CROSS,SHORT_BOUNCE,0.4253,0.4326,0.42895,11.483146067415806,0.4719101123595034,0.0001,0.0006357142857142792,0.005,0.9589041095890455,29.850746268656568
SHORT,0.4339,0.433,21099.15781043615,9.853306697473933,0.10762848582622996,0.20742106476146854,20,RANGE_EXIT_TIMEOUT,SHORT_BOUNCE,0.427,0.4341,0.43055,9.036363636363713,0.2545454545454289,0.0001,0.0007857142857142785,0.005,0.971830985915496,26.865671641791245
SHORT,0.4346,0.4357,21066.700499230545,-32.35213195666813,-0.3533594109525977,-0.2531063046479498,3,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.427,0.4349,0.43095,12.021739130434755,0.4565217391304669,0.0001,0.0006571428571428602,0.005,0.9620253164556934,-30.136986301369696
SHORT,0.4357,0.4364,20923.010564543594,-23.77690920554805,-0.26082166628414827,-0.1606610052788694,3,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.427,0.436,0.4315,12.115384615384603,0.40384615384618333,0.0001,0.0007428571428571443,0.005,0.9666666666666642,-16.66666666666755
SHORT,0.4404,0.4406,20628.763150110244,-13.214785673960167,-0.14545867393278336,-0.04541326067211125,4,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.4317,0.441,0.43635,9.04166666666668,0.583333333333322,0.0001,0.0010285714285714303,0.005,0.9354838709677433,-4.93827160493773
SHORT,0.4409,0.4391,20557.320442257984,27.97645738986938,0.30866409616693663,0.40825584032661,20,RANGE_EXIT_TIMEOUT,SHORT_BOUNCE,0.4317,0.4413,0.4365,13.176470588235455,0.5490196078431566,0.0001,0.0007285714285714237,0.005,0.9583333333333324,40.90909090909131
LONG,0.4344,0.4343,20906.28379617422,-11.170227432295656,-0.12299723756905825,-0.023020257826885125,70,RANGE_EXIT_REGIME_CHANGE,LONG_BOUNCE,0.4341,0.4426,0.43835,8.880597014925366,0.31343283582091847,0.0001,0.0009571428571428588,0.005,0.03529411764706144,-2.5316455696199687
SHORT,0.4376,0.4369,20709.438664991765,5.448653312758887,0.0601234003656258,0.15996343692869708,10,TREND_EXIT_EMA_SLOW_CROSS,SHORT_BOUNCE,0.4316,0.4379,0.43474999999999997,11.307692307692475,0.5384615384615844,0.0001,0.0005571428571428513,0.005,0.952380952380949,24.561403508771008
SHORT,0.4385,0.4386,20659.104338895566,-11.126993596928925,-0.1228278221208641,-0.022805017103760313,2,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.4329,0.4387,0.43579999999999997,16.239999999999906,0.5599999999999378,0.0001,0.00035714285714285747,0.005,0.9655172413793139,-3.7037037037032468
SHORT,0.4461,0.4448,20264.157234473543,17.32990726692225,0.19170589553912204,0.29141448105806395,20,RANGE_EXIT_TIMEOUT,SHORT_BOUNCE,0.4363,0.4464,0.44135,10.321167883211684,0.30656934306571665,0.0001,0.0009785714285714278,0.005,0.970297029702968,27.368421052632208
SHORT,0.4469,0.4477,20245.5048236452,-25.260316368461453,-0.2791899753859851,-0.17901096442156353,197,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.4423,0.4472,0.44475,7.376344086021377,0.45161290322575254,0.0001,0.0006642857142857204,0.005,0.9387755102040879,-37.20930232557917
SHORT,0.4567,0.4574,19739.70544085088,-22.846735077240382,-0.25342675717100466,-0.15327348368731736,2,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.4445,0.4572,0.45085,11.043478260869628,0.43478260869565544,0.0001,0.0011499999999999924,0.005,0.9606299212598425,-11.965811965811552
SHORT,0.4686,0.4689,19173.825670533766,-14.742754558072779,-0.16408450704224647,-0.06402048655569077,19,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.4589,0.4689,0.4639,16.666666666666643,0.4999999999999438,0.0001,0.0006000000000000014,0.005,0.9700000000000033,-6.382978723403501
SHORT,0.4716,0.4702,19004.05742240925,17.669972591356355,0.1971586089906727,0.29686174724342923,20,RANGE_EXIT_TIMEOUT,SHORT_BOUNCE,0.461,0.4717,0.46635000000000004,9.855263157894731,0.09210526315788464,0.0001,0.0010857142857142851,0.005,0.9906542056074776,26.666666666667023
SHORT,0.4797,0.4798,18700.408081224938,-10.842496605494015,-0.12086720867208443,-0.020846362309774647,1,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.4686,0.4799,0.47425,18.18390804597712,0.32183908045973725,0.0001,0.0006214285714285664,0.005,0.9823008849557541,-1.8348623853208952
SHORT,0.5255,0.5264,17034.754192806187,-24.298373380618948,-0.27143672692673876,-0.17126546146527344,20,RANGE_EXIT_TIMEOUT,SHORT_BOUNCE,0.5136,0.5261,0.5198499999999999,10.29411764705887,0.49411764705886013,0.0001,0.0012142857142857153,0.005,0.9519999999999966,-15.929203539823094
LONG,0.5261,0.5265,16955.28549410028,-2.144843615004432,-0.02404485839194907,0.07603117278083177,20,RANGE_EXIT_TIMEOUT,LONG_BOUNCE,0.5257,0.5348,0.53025,4.976562500000046,0.21875000000003605,0.0001,0.0018285714285714333,0.005,0.043956043956050794,9.638554216866439
SHORT,0.5309,0.5249,16782.18860444223,91.88416082818175,1.0312864946317584,1.1301563382934647,12,RANGE_EXIT_TARGET,SHORT_BOUNCE,0.5194,0.5312,0.5253,7.755868544600885,0.19718309859152564,0.0001,0.0015214285714285863,0.005,0.9745762711864435,107.1428571428563
SHORT,0.5307,0.5308,16937.044850483435,-10.683887891686647,-0.11886188053516115,-0.018843037497663466,3,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.5222,0.5312,0.5267,8.873239436619802,0.4929577464789326,0.0001,0.0010142857142857056,0.005,0.9444444444444383,-2.500000000002498
LONG,0.5239,0.5237,17121.208137883972,-12.390618329386255,-0.13813704905515897,-0.03817522427943843,3,RANGE_EXIT_REGIME_CHANGE,LONG_BOUNCE,0.5234,0.538,0.5307,12.539877300613647,0.4294478527607877,0.0001,0.001164285714285705,0.005,0.03424657534246945,-2.9411764705879473
SHORT,0.5335,0.533,16775.0863076443,-0.5535778481531874,-0.006185567010319622,0.09372071227740299,20,RANGE_EXIT_TIMEOUT,SHORT_BOUNCE,0.5225,0.5345,0.5285,7.118644067796563,0.5932203389830469,0.0001,0.0016857142857142984,0.005,0.9166666666666666,9.99999999999889
SHORT,0.5342,0.5334,16736.20481665034,4.461872204119365,0.04990640209659732,0.14975664545114617,11,TREND_EXIT_EMA_SLOW_CROSS,SHORT_BOUNCE,0.5225,0.5347,0.5286,11.698630136986422,0.4794520547944731,0.0001,0.0010428571428571312,0.005,0.9590163934426275,14.285714285714569
SHORT,0.5843,0.585,15293.90028250235,-19.65266186301434,-0.21992127331848754,-0.1198014718466409,3,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.5736,0.5847,0.57915,6.727272727272789,0.24242424242421795,0.0001,0.0016499999999999848,0.005,0.9639639639639679,-13.592233009707272
SHORT,0.618,0.6141,14415.965196857522,47.36942004035434,0.531699029126216,0.6310679611650509,17,TREND_EXIT_EMA_SLOW_CROSS,SHORT_BOUNCE,0.5986,0.6195,0.6090500000000001,8.26553672316383,0.5932203389830717,0.0001,0.0025285714285714356,0.005,0.9282296650717677,43.57541899441404
